用户名,计算,用户名,阅读,用户名,记忆1,用户名,记忆2,用户名,分类,用户名,听力,用户名,舒尔特,用户名,反向眼跳
62230101,0.928571429,62230101,0.6,62230101,0.7,62230101,1,62230101,0.666666667,62230101,0.8,62230101,0.990384615,62230101,0.96
62230102,0.769230769,62230102,0.8,62230102,0.7,62230102,0.8,62230102,0.5,62230102,0.733333333,62230102,0.965517241,62230102,0.8
62230104,0.827586207,62230104,0.7,62230104,1,62230105,1,62230105,0.666666667,62230104,0.633333333,62230104,0.985482655,62230104,0.94
62230105,1,62230105,0.8,62230105,0.8,62230106,0.6,62230106,0,62230105,1,62230105,1,62230105,0.94
62230106,1,62230106,0.8,62230106,0.4,62230107,0.6,62230107,0,62230106,0.8,62230106,0.990384615,62230106,0.7
62230108,0.857142857,62230107,0.2,62230108,1,62230108,1,62230108,0.666666667,62230107,0.2,62230107,0.903645833,62230107,0.52
62230109,0.8,62230108,0.4,62230109,1,62230109,1,62230109,0.833333333,62230108,0.666666667,62230108,0.990384615,62230108,0.94
62230111,1,62230109,1,62230111,0.9,62230110,0.2,62230110,0,62230109,0.8,62230109,0.990384615,62230109,0.94
62230113,0.75,62230110,0.6,62230112,0.4,62230111,1,62230111,0.666666667,62230110,0.466666667,62230111,0.9453125,62230111,0.96
62230114,0.923076923,62230111,0.6,62230113,0.7,62230113,1,62230112,0,62230111,0.8,62230112,0.963598901,62230112,0.5
62230115,1,62230112,0.6,62230114,1,62230114,1,62230113,0.333333333,62230112,0.466666667,62230113,1,62230113,0.54
62230116,0.846153846,62230113,0.4,62230115,1,62230115,1,62230114,0.666666667,62230113,0.933333333,62230114,1,62230114,0.94
62230117,0.55,62230114,0.6,62230116,0.8,62230116,0.6,62230115,0.5,62230114,0.733333333,62230115,1,62230115,0.98
62230118,1,62230115,0.6,62230117,0.6,62230118,1,62230116,0.666666667,62230115,0.666666667,62230116,0.904911181,62230116,0.8
62230119,0.6875,62230116,0.8,62230118,0.6,62230120,1,62230117,0.833333333,62230116,0.8,62230118,0.980769231,62230117,0.94
62230120,1,62230117,0.6,62230119,0.8,62230121,0.6,62230118,0.666666667,62230117,0.466666667,62230119,1,62230118,0.92
62230121,0.6875,62230118,0.6,62230120,0.7,62230122,0.8,62230119,0.666666667,62230118,0.666666667,62230120,0.990384615,62230119,0.96
62230122,0.818181818,62230119,0.6,62230121,1,62230124,1,62230120,0.5,62230119,0.6,62230121,1,62230120,0.52
62230123,0.807692308,62230120,0.8,62230122,0.6,62230125,1,62230121,0.5,62230120,0.733333333,62230122,0.958333333,62230121,0.96
62230124,0.866666667,62230121,1,62230123,1,62230126,1,62230122,0.5,62230121,0.8,62230123,0.952635328,62230122,0.96
62230125,1,62230122,1,62230124,1,62230127,0.6,62230123,0.833333333,62230122,0.866666667,62230124,1,62230123,0.94
62230126,0.8,62230123,0.8,62230125,0.9,62230128,0.6,62230124,0.666666667,62230123,0.7,62230125,1,62230124,0.98
62230127,0.8,62230124,1,62230126,0.9,62230129,0.8,62230125,0.833333333,62230124,0.8,62230126,1,62230125,0.92
62230128,0.7,62230125,0.8,62230127,0.9,62230130,1,62230126,0.333333333,62230125,0.933333333,62230127,1,62230126,0.52
62230129,1,62230126,1,62230128,0.9,62230131,1,62230127,0.333333333,62230126,0.866666667,62230128,0.990384615,62230127,0.94
62230130,0.933333333,62230127,0.8,62230129,0.8,62230132,1,62230128,0.666666667,62230127,0.8,62230129,1,62230128,0.96
62230131,0.857142857,62230128,0.6,62230130,0.8,62230133,0.8,62230129,0.5,62230128,0.8,62230130,1,62230129,0.8
62230132,0.916666667,62230129,1,62230131,1,62230135,1,62230130,1,62230129,0.8,62230131,1,62230130,0.98
62230133,0.928571429,62230130,0.6,62230132,1,62230136,0.8,62230131,0.666666667,62230130,0.8,62230132,0.971153846,62230131,0.9
62230135,0.611111111,62230131,0.4,62230133,0.8,62230137,1,62230132,0.666666667,62230131,0.666666667,62230133,1,62230132,0.84
62230136,0.705882353,62230132,0.8,62230135,0.8,62230138,0.8,62230133,0.5,62230132,0.933333333,62230135,1,62230133,1
62230137,0.75,62230133,0.2,62230136,1,62230139,1,62230135,0.5,62230133,0.8,62230136,0.990384615,62230135,0.92
62230138,0.615384615,62230135,0.6,62230137,1,62230140,1,62230136,0.333333333,62230135,0.933333333,62230137,0.963598901,62230136,0.92
62230139,1,62230136,1,62230138,1,62230141,1,62230137,0.5,62230136,0.733333333,62230138,1,62230137,0.92
62230140,0.8,62230137,0.4,62230139,1,62230142,1,62230138,0.833333333,62230137,0.466666667,62230139,1,62230138,0.98
62230141,0.888888889,62230138,0.8,62230140,0.8,62230143,1,62230139,0.833333333,62230138,0.866666667,62230140,0.916466346,62230139,0.58
62230142,1,62230139,0.8,62230141,0.8,62230144,1,62230140,0.166666667,62230139,0.733333333,62230141,1,62230140,0.98
62230143,0.666666667,62230140,0.8,62230142,1,62230145,0.6,62230141,0.333333333,62230140,0.866666667,62230142,1,62230141,0.5
62230144,0.647058824,62230141,0.8,62230143,0.7,62230201,0.8,62230142,0.333333333,62230141,0.6,62230143,0.980769231,62230142,0.98
62230145,0.909090909,62230142,1,62230144,0.9,62230202,1,62230143,0.5,62230142,0.866666667,62230144,0.990384615,62230143,0.98
62230201,0.583333333,62230143,0.8,62230145,1,62230203,0.8,62230144,0.666666667,62230143,0.733333333,62230145,0.973214286,62230144,0.88
62230202,1,62230144,0.6,62230201,0.6,62230204,0.6,62230145,0.666666667,62230144,1,62230201,0.981481481,62230145,0.94
62230203,0.785714286,62230145,0.8,62230202,1,62230205,1,62230201,0.666666667,62230145,0.666666667,62230202,0.980769231,62230201,0.98
62230204,0.642857143,62230201,1,62230203,1,62230206,1,62230202,0.666666667,62230201,0.866666667,62230203,1,62230202,0.92
62230205,0.705882353,62230202,0.8,62230204,1,62230207,0.8,62230203,0.666666667,62230202,0.6,62230204,1,62230203,0.94
62230206,0.769230769,62230203,1,62230205,1,62230208,0.6,62230204,0.666666667,62230203,0.866666667,62230205,1,62230204,0.92
62230207,0.571428571,62230204,1,62230206,1,62230209,0.6,62230205,0.666666667,62230204,0.866666667,62230206,1,62230205,0.96
62230208,0.769230769,62230205,1,62230207,1,62230210,0.8,62230206,0.666666667,62230205,0.666666667,62230207,1,62230206,0.96
62230209,1,62230206,0.8,62230208,0.8,62230211,0.8,62230207,0.833333333,62230206,0.933333333,62230208,1,62230207,0.96
62230210,0.733333333,62230207,1,62230209,1,62230212,1,62230208,0.5,62230207,0.866666667,62230209,1,62230208,1
62230211,0.7,62230208,1,62230210,0.6,62230213,0.8,62230209,0.833333333,62230208,0.8,62230210,0.980769231,62230209,0.96
62230212,0.923076923,62230209,0.8,62230211,1,62230215,1,62230210,0.833333333,62230209,0.733333333,62230211,0.980769231,62230210,1
62230213,0.769230769,62230210,0.6,62230212,0.5,62230216,0.8,62230211,0.666666667,62230210,0.666666667,62230212,0.962962963,62230211,0.92
62230214,0.826086957,62230211,1,62230213,1,62230217,1,62230212,0.833333333,62230211,0.866666667,62230213,1,62230212,0.9
62230215,0.692307692,62230212,0.8,62230214,0.9,62230218,0.4,62230213,0.666666667,62230212,0.466666667,62230214,1,62230213,0.96
62230216,0.625,62230213,0.8,62230215,1,62230219,0.4,62230214,0.833333333,62230213,0.8,62230215,0.963598901,62230214,0.98
62230217,1,62230214,0.9,62230216,1,62230220,0.8,62230215,0.666666667,62230214,0.733333333,62230216,1,62230215,0.98
62230218,0.619047619,62230215,1,62230217,0.8,62230221,0.8,62230216,0.833333333,62230215,0.8,62230217,0.990384615,62230216,1
62230219,0.692307692,62230216,0.6,62230218,0.9,62230222,1,62230217,0.666666667,62230216,1,62230218,1,62230217,1
62230220,1,62230217,0.6,62230219,1,62230223,1,62230218,0.333333333,62230217,0.866666667,62230219,0.981481481,62230218,0.92
62230221,0.727272727,62230218,1,62230220,1,62230224,0.6,62230219,0.5,62230218,0.666666667,62230220,1,62230219,1
62230222,0.764705882,62230219,0.6,62230221,1,62230225,0.4,62230220,0.666666667,62230219,0.733333333,62230221,1,62230220,0.96
62230223,1,62230220,1,62230222,1,62230226,1,62230221,0.833333333,62230220,0.8,62230222,0.981481481,62230221,0.98
62230224,0.75,62230221,1,62230223,1,62230227,0.8,62230222,0.666666667,62230221,0.6,62230223,1,62230222,0.98
62230225,0.857142857,62230222,1,62230224,1,62230228,0.8,62230223,0.833333333,62230222,0.733333333,62230224,1,62230223,0.92
62230226,0.8,62230223,0.8,62230225,0.6,62230229,0.6,62230224,0.666666667,62230223,0.8,62230225,0.980769231,62230224,0.94
62230227,0.666666667,62230224,0.4,62230226,0.9,62230230,0.8,62230225,0.333333333,62230224,0.733333333,62230226,1,62230226,0.9
62230228,1,62230225,0.4,62230227,0.9,62230231,1,62230226,0.666666667,62230225,0.666666667,62230227,0.990384615,62230227,0.94
