Title,Link,Authors,Publish Date,Topic,Author 1 Name,Author 1 H-index,Author 2 Name,Author 2 H-index
MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,https://doi.org/10.48550/arXiv.2410.07095,"Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, James Aung, Dane Sherburn, Evan Mays, Giulio Starace, Kevin Liu, Leon Maksin, Tejal Patwardhan, Lilian Weng, Aleksander M?dry",2024/10/9,Other,Jun Shern Chan,8,Neil Chowdhury,4
"4th International Workshop on Scientific Knowledge: Representation, Discovery, and Assessment",https://ceur-ws.org/Vol-3780/preface.pdf,"Angelo Salatino, Andrea Mannocci, Francesco Osborne, Georg Rehm, Sonja Schimmler",2024/10/9,Other,Angelo A. Salatino,18,Andrea Mannocci,13
Neurosymbolic AI for Studying the Quality of Life Dimensions of People with Intellectual Disability,https://www.iiia.csic.es/media/filer_public/fb/b1/fbb14a97-0ade-43cd-b6cd-47ab46529631/faia-390-faia240431.pdf,"Vicent Costa, Pilar Dellunde, Diego Fraile-Parra",2024/10/9,Other,Vicent Costa,NA,Pilar Dellunde,NA
"Between world models and model worlds: on generality, agency, and worlding in machine learning",https://doi.org/10.1007/s00146-024-02086-9,Konstantin Mitrokhov,2024/10/7,Other,Konstantin Mitrokhov,NA,,
Using Artificial Intelligence-Based Tools to Improve the Literature Review Process: Pilot Test with the Topic ??Hybrid Meat Products??,https://www.mdpi.com/2227-9709/11/4/72,"Juana Fern??ndez-L??pez, Fernando Borr??s-Rocher, Manuel Viuda-Martos, and Jos?? ?ngel P??rez-?lvarez",2024/10/5,Other,Juana Fern??ndez-L??pez,74,Juana Fern??ndez-L??pez,20
"Advancing Geomatics: Innovation, Inclusivity, and Global Perspectives",https://www.mdpi.com/2673-7418/4/4/20,Christophe Claramunt,2024/10/5,Other,Christophe Claramunt,43,,
Enhancing Deep Sequence Generation with Logical Temporal Knowledge,https://ceur-ws.org/Vol-3779/paper4.pdf,"Elena Umili, Gabriel Paludo Licks and Fabio Patrizi1",2024/10/5,Other,Elena umili,4,Gabriel Paludo Licks,4
Special Issue: Scientific Machine Learning for Manufacturing Processes and Material Systems,https://asmedigitalcollection.asme.org/computingengineering/article-abstract/doi/10.1115/1.4066791/1207050/Special-Issue-Scientific-Machine-Learning-for?redirectedFrom=PDF,"John Michopoulos, Anindya Bhaduri, Francisco Chinesta, Elias Cueto, Dehao Liu, Sandipp Krishnan Ravi, Jian-Xun Wang",2024/10/4,Other,John Michopoulos,33,Anindya Bhaduri,11
Paclitaxel Biosynthesis AI Breakthrough,https://chemrxiv.org/engage/chemrxiv/article-details/66fe1dc412ff75c3a1412054,Kevin Kawchak,2024/10/4,Other,Kevin Kawchak,2,,
Perceptions of data waste among researchers. First survey evidence,https://irihs.ihs.ac.at/id/eprint/7053/1/ihs-report-2024-braun-frankus-gangl-neuhofer-perceptions-of-data-waste-among-researchers-first-survey-evidence.pdf,"Robert Braun, Elisabeth Frankus, Katharina Gangl, Sabine Neuhofer",2024/10/4,Other,Braun R??bert,14,Elisabeth Frankus,NA
Understanding Public Opinion Towards ESG and Green Finance with Explainable Artificial ,https://doi.org/10.3390/math12193119 ,"Wihan van der Heever, Ranjan Satapathy, Ji Min Park, Erik Cambria",2024/10/4,Other,Wihan van der Heever,NA,Ranjan Satapathy,12
Neuro-Symbolic Entity Alignment via Variational Inference,https://doi.org/10.48550/arXiv.2410.04153 ,"Shengyuan Chen, Qinggang Zhang, Junnan Dong, Wen Hua, Jiannong Cao, Xiao Huang",2024/10/4,Other,Shengyuan Chen,5,Qinggang Zhang,7
Explainable Artificial Intelligence (XAI) for Methods Working on Point Cloud Data ?C A Survey,https://ieeexplore.ieee.org/abstract/document/10704781,"Raju Ningappa Mulawade, Christoph Garth, Alexander Wiebel",2024/10/3,Other,Raju Ningappa Mulawade,NA,Christoph Garth,35
Parametric Activation Functions for Neural Networks: A Tutorial Survey,https://doi.org/10.1109/ACCESS.2024.3474574 ,"Luca S??ra Pusztah??zi, Gy?rgy Eigner, Orsolya Csisz??r",2024/10/3,Other,Luca S??ra Pusztah??zi,2,Gy?rgy Eigner,15
Is Artificial Intelligence (Ai) Research Biased and Conceptually Vague? A Systematic Review of Research on Bias and Discrimination in the Context of Using Ai in Human Resource Management,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4974691,"Ivan Kekez, Lode Lauwaert, Nina Begi?evi? Re?ep",2024/10/2,Other,Ivan Kekez,2,lode lauwaert,6
Identifying and Visualizing Global Research Trends and Hotspots of Artificial Intelligence in Medical Ultrasound: A Bibliometric Analysis,https://pubmed.ncbi.nlm.nih.gov/39360541/,"Jinting Xiao, Fajuan Shen, Weizhao Lu, Zaiyang Yu, Shengjie Li, Jianlin Wu",2024/10/2,Other,Jinting Xiao,NA,Fajuan Shen,NA
CB-LMs: language models for central banking,https://www.bis.org/publ/work1215.pdf,"Leonardo Gambacorta, Byeungchun Kwon, Taejin Park, Pietro Patelli, Sonya Zhu",2024/10/2,Other,Leonardo Gambacorta,64,Byeungchun Kwon,1
ConServe: Harvesting GPUs for Low-Latency and High-Throughput Large Language Model Serving,https://doi.org/10.48550/arXiv.2410.01228,"Yifan Qiao, Shu Anzai, Shan Yu, Haoran Ma, Yang Wang, Miryung Kim, Harry Xu",2024/10/2,Other,Yifan Qiao,7,Shu Anzai,1
Towards trustworthy AI for link prediction in supply chain knowledge graph: a neurosymbolic reasoning approach,https://doi.org/10.1080/00207543.2024.2399713 ,"Edward Elson Kosasih, Alexandra Brintrup",2024/10/2,Other,Edward Elson Kosasih,12,Alexandra Brintrup,31
MARS: A neurosymbolic approach for interpretable drug discovery,https://doi.org/10.48550/arXiv.2410.05289,"Lauren Nicole DeLong, Yojana Gadiya, Paola Galdi, Jacques D. Fleuriot, Daniel Domingo-Fern??ndez",2024/10/1,Other,Lauren Nicole DeLong,NA,Yojana Gadiya,10
